ID,TL,Depth,mean Rug,ID.chapter,Site,Life stage,Species,ID.chapter,total,Pavement,Coarse rubble,Fine rubble,Sand,Algae,Soft Coral,Coarse Branching,Fine Branching,Mounding Coral,"Other (clam, sponges, holes)"
40,1.431,2.5,2.207,85,3,recruits,moluccensis,85,1,0,0,0,0,0,0,0,1,0,0
41,1.465,3,1.407,86,3,recruits,moluccensis,86,1,0,1,0,0,0,0,0,0,0,0
42,1.397,2.6,1.807,87,3,recruits,moluccensis,87,1,0,0,0,0,0,0,0,1,0,0
43,1.607,1.2,1.993,88,3,recruits,moluccensis,88,1,0,0,0,0,0,0,0,1,0,0
47,1.637,3,1.72,93,3,recruits,amboinensis,93,1,0,0,0,0,0,0,0,1,0,0
48,1.568,3.2,1.793,94,2,recruits,moluccensis,94,1,0,0,0,0,0,1,0,0,0,0
49,1.644,3.2,1.793,95,2,recruits,amboinensis,95,1,0,0,0,0,0,1,0,0,0,0
50,1.67,3,1.333,96,2,recruits,amboinensis,96,1,0,0,0,1,0,0,0,0,0,0
51,1.504,2.2,2.033,97,2,recruits,moluccensis,97,1,0,0,0,0,0,0,0,1,0,0
54,1.286,2.9,1.627,100,2,recruits,moluccensis,100,1,0,0,0,0,0,0,0,1,0,0
55,1.567,2.6,1.607,101,2,recruits,moluccensis,101,1,0,0,0,0,0,0,0,1,0,0
56,1.866,2.8,1.5,104,2,recruits,chrysurus,104,1,1,0,0,0,0,0,0,0,0,0
57,1.706,2.4,1.34,105,2,recruits,chrysurus,105,1,0,0,1,0,0,0,0,0,0,0
58,2.025,2.2,1.167,106,2,recruits,chrysurus,106,1,1,0,0,0,0,0,0,0,0,0
59,1.686,2.2,1.32,109,3,recruits,amboinensis,109,1,0,0,0,0,0,0,0,1,0,0
60,1.736,2.7,1.54,111,3,recruits,amboinensis,111,1,0,0,0,0,0,0,0,1,0,0
61,1.67,3.1,1.207,112,3,recruits,amboinensis,112,1,1,0,0,0,0,0,0,0,0,0
63,1.648,3,1.76,114,3,recruits,amboinensis,114,1,0,0,0,0,0,0,0,1,0,0
64,1.744,3.4,1.973,115,3,recruits,amboinensis,115,1,0,0,0,0,0,1,0,0,0,0
66,1.465,2.5,1.667,117,2,recruits,moluccensis,117,1,0,0,0,0,0,1,0,0,0,0
67,1.724,2.7,1.4,118,2,recruits,amboinensis,118,1,0,0,0,0,0,0,0,1,0,0
68,1.56,2.7,1.4,119,2,recruits,moluccensis,119,1,0,0,0,0,0,0,0,1,0,0
69,1.61,2.7,1.353,120,2,recruits,amboinensis,120,1,0,0,0,0,0,1,0,0,0,0
70,2.242,2,1.447,122,2,recruits,chrysurus,122,1,1,0,0,0,0,0,0,0,0,0
71,2.066,2.1,1.4,123,2,recruits,chrysurus,123,1,1,0,0,0,0,0,0,0,0,0
72,1.869,1.9,1.413,124,2,recruits,chrysurus,124,1,0,1,0,0,0,0,0,0,0,0
73,1.753,1.8,1.64,126,2,recruits,amboinensis,126,1,0,0,0,0,0,1,0,0,0,0
74,1.867,1.6,1.66,127,2,recruits,chrysurus,127,1,0,0,0,1,0,0,0,0,0,0
75,1.562,1,2.207,129,3,recruits,moluccensis,129,1,1,0,0,0,0,0,0,0,0,0
79,1.737,1.2,1.447,134,3,recruits,chrysurus,134,1,0,1,0,0,0,0,0,0,0,0
80,1.564,0.9,1.747,136,3,recruits,moluccensis,136,1,0,0,0,0,0,0,0,1,0,0
81,1.935,1.4,1.34,140,3,recruits,chrysurus,140,1,1,0,0,0,0,0,0,0,0,0
82,1.854,1.7,1.227,141,3,recruits,chrysurus,141,1,0,0,0,1,0,0,0,0,0,0
83,1.903,1.8,1.367,142,3,recruits,chrysurus,142,1,0,0,0,0,1,0,0,0,0,0
84,1.939,1.5,1.293,143,3,recruits,chrysurus,143,1,0,1,0,0,0,0,0,0,0,0
85,2.083,1.6,1.22,144,3,recruits,chrysurus,144,1,0,0,1,0,0,0,0,0,0,0
86,1.966,1.6,1.467,145,3,recruits,chrysurus,145,1,0,0,0,0,0,0,0,1,0,0
87,1.989,1.9,1.447,146,3,recruits,chrysurus,146,1,1,0,0,0,0,0,0,0,0,0
88,1.995,2.4,1.167,148,2,recruits,chrysurus,148,1,0,0,1,0,0,0,0,0,0,0
89,1.788,2.5,1.367,150,2,recruits,chrysurus,150,1,0,0,0,1,0,0,0,0,0,0
90,1.951,2.4,1.3,152,2,recruits,chrysurus,152,1,1,0,0,0,0,0,0,0,0,0
91,2.023,1.5,1.313,153,3,recruits,chrysurus,153,1,1,0,0,0,0,0,0,0,0,0
92,1.562,1.6,1.473,156,3,recruits,moluccensis,156,1,0,0,0,0,1,0,0,0,0,0
93,2.012,1.7,1.167,158,3,recruits,amboinensis,158,1,0,0,0,1,0,0,0,0,0,0
94,1.918,1.6,1.767,159,3,recruits,amboinensis,159,1,0,0,0,0,0,1,0,0,0,0
95,1.76,1.5,1.287,160,3,recruits,amboinensis,160,1,1,0,0,0,0,0,0,0,0,0
96,2.021,2.3,1.467,162,2,recruits,chrysurus,162,1,0,1,0,0,0,0,0,0,0,0
97,1.894,2.3,1.287,163,2,recruits,chrysurus,163,1,0,1,0,0,0,0,0,0,0,0
98,2.033,3.2,2,165,2,recruits,amboinensis,165,1,0,0,0,0,0,0,0,1,0,0
99,1.584,3.2,1.78,166,2,recruits,amboinensis,166,1,0,0,0,0,0,0,0,0,1,0
100,2.038,2.1,1.687,169,2,recruits,chrysurus,169,1,1,0,0,0,0,0,0,0,0,0
101,1.928,2.1,1.467,170,2,recruits,chrysurus,170,1,0,0,0,0,0,1,0,0,0,0
103,1.674,3.4,1.82,172,2,recruits,amboinensis,172,1,0,0,0,0,0,0,0,1,0,0
104,1.631,3.6,2.62,173,3,recruits,moluccensis,173,1,0,0,0,0,0,0,0,1,0,0
105,1.712,3.5,1.847,174,3,recruits,moluccensis,174,1,0,0,0,0,0,0,0,1,0,0
106,1.592,3.6,2.733,175,3,recruits,amboinensis,175,1,0,0,0,0,0,1,0,0,0,0
108,1.601,1.6,3.933,177,3,recruits,moluccensis,177,1,0,0,0,0,0,0,1,0,0,0
109,1.815,3.4,1.84,179,3,recruits,amboinensis,179,1,0,0,0,0,0,0,0,0,1,0
112,1.57,3.3,2.813,182,3,recruits,moluccensis,182,1,0,0,0,0,0,0,0,1,0,0
113,1.818,1.1,2.033,187,3,recruits,chrysurus,187,1,1,0,0,0,0,0,0,0,0,0
114,2.083,1.3,1.327,188,3,recruits,chrysurus,188,1,1,0,0,0,0,0,0,0,0,0
115,2.043,1.2,1.247,189,3,recruits,chrysurus,189,1,0,0,1,0,0,0,0,0,0,0
117,1.696,1.8,2.853,194,3,recruits,moluccensis,194,1,0,0,0,0,0,0,0,1,0,0
118,1.65,3.3,1.353,196,2,recruits,amboinensis,196,1,1,0,0,0,0,0,0,0,0,0
119,1.844,3.2,1.413,197,2,recruits,amboinensis,197,1,0,1,0,0,0,0,0,0,0,0
120,1.724,2.5,1.28,199,2,recruits,chrysurus,199,1,0,1,0,0,0,0,0,0,0,0
122,2.015,2,1.233,202,2,recruits,chrysurus,202,1,0,0,0,0,0,1,0,0,0,0
123,1.747,3.9,1.333,204,2,recruits,amboinensis,204,1,0,1,0,0,0,0,0,0,0,0
124,2.188,2.3,1.313,205,2,recruits,chrysurus,205,1,0,1,0,0,0,0,0,0,0,0
125,1.403,2.3,1.74,207,2,recruits,moluccensis,207,1,0,0,0,0,0,0,0,1,0,0
126,1.554,1.9,3.413,210,2,recruits,moluccensis,210,1,0,0,0,0,0,1,0,0,0,0
128,1.82,3.8,1.553,215,3,recruits,amboinensis,215,1,1,0,0,0,0,0,0,0,0,0
129,1.571,2.6,2.173,216,3,recruits,moluccensis,216,1,0,0,0,0,0,0,0,1,0,0
130,1.938,1.4,1.467,224,3,recruits,chrysurus,224,1,0,0,0,1,0,0,0,0,0,0
131,1.682,1.7,2.187,228,3,recruits,amboinensis,228,1,0,0,0,0,0,0,0,1,0,0
132,1.642,2.7,1.453,235,2,recruits,amboinensis,235,1,1,0,0,0,0,0,0,0,0,0
133,1.828,2.5,2.1,236,2,recruits,chrysurus,236,1,1,0,0,0,0,0,0,0,0,0
134,2.056,2.4,1.613,237,2,recruits,chrysurus,237,1,0,0,0,0,1,0,0,0,0,0
136,1.66,3.2,2.1,239,2,recruits,amboinensis,239,1,0,0,0,0,0,1,0,0,0,0
137,1.936,3.3,1.3,240,2,recruits,amboinensis,240,1,1,0,0,0,0,0,0,0,0,0
140,1.789,3.5,1.533,243,2,recruits,amboinensis,243,1,0,0,0,1,0,0,0,0,0,0
141,1.765,3.1,1.873,244,2,recruits,amboinensis,244,1,0,0,0,0,0,0,0,0,1,0
142,1.591,1.6,1.647,247,3,recruits,moluccensis,247,1,0,0,0,0,0,0,0,1,0,0
143,1.48,2.9,2.273,249,3,recruits,moluccensis,249,1,1,0,0,0,0,0,0,0,0,0
144,1.595,3,2.04,250,3,recruits,moluccensis,250,1,0,0,0,0,0,0,0,1,0,0
145,1.561,3.1,2.273,251,3,recruits,amboinensis,251,1,0,0,0,0,0,1,0,0,0,0
146,1.81,3.2,1.46,252,3,recruits,amboinensis,252,1,1,0,0,0,0,0,0,0,0,0
147,1.805,1.3,1.273,253,3,recruits,chrysurus,253,1,0,0,0,1,0,0,0,0,0,0
148,1.875,1.4,1.413,254,3,recruits,chrysurus,254,1,1,0,0,0,0,0,0,0,0,0
149,1.888,1.6,1.547,255,3,recruits,chrysurus,255,1,0,0,0,1,0,0,0,0,0,0
150,1.912,1.3,1.22,257,3,recruits,chrysurus,257,1,0,0,1,0,0,0,0,0,0,0
151,1.718,1.4,1.253,258,3,recruits,chrysurus,258,1,1,0,0,0,0,0,0,0,0,0
152,1.652,1.4,1.2,259,3,recruits,chrysurus,259,1,0,0,0,1,0,0,0,0,0,0
153,1.891,1.5,1.293,260,3,recruits,chrysurus,260,1,0,1,0,0,0,0,0,0,0,0
154,1.93,2.3,1.353,261,2,recruits,chrysurus,261,1,0,0,1,0,0,0,0,0,0,0
156,1.864,2.2,1.373,263,2,recruits,chrysurus,263,1,1,0,0,0,0,0,0,0,0,0
157,2.013,2.1,1.407,264,2,recruits,chrysurus,264,1,0,0,1,0,0,0,0,0,0,0
158,1.967,1.8,1.387,265,2,recruits,chrysurus,265,1,1,0,0,0,0,0,0,0,0,0
159,1.966,1.6,1.72,267,2,recruits,chrysurus,267,1,1,0,0,0,0,0,0,0,0,0
160,1.88,1.6,1.38,268,2,recruits,chrysurus,268,1,0,1,0,0,0,0,0,0,0,0
161,1.914,1.8,1.7,270,2,recruits,chrysurus,270,1,0,0,0,0,0,0,0,0,1,0
162,1.457,3.6,1.967,271,3,recruits,amboinensis,271,1,0,0,0,0,0,1,0,0,0,0
163,1.662,3.2,1.873,272,3,recruits,moluccensis,272,1,0,0,0,0,0,0,0,1,0,0
164,1.942,2.2,1.647,275,2,recruits,chrysurus,275,1,1,0,0,0,0,0,0,0,0,0
165,1.913,2.3,1.54,279,2,recruits,chrysurus,279,1,1,0,0,0,0,0,0,0,0,0
166,1.851,2.1,1.36,280,2,recruits,chrysurus,280,1,0,0,0,1,0,0,0,0,0,0
167,1.775,1.4,1.26,283,3,recruits,chrysurus,283,1,1,0,0,0,0,0,0,0,0,0
168,1.699,1.3,1.227,284,3,recruits,chrysurus,284,1,0,0,1,0,0,0,0,0,0,0
169,1.492,2.5,1.367,286,3,recruits,moluccensis,286,1,0,0,0,0,0,0,0,1,0,0
170,1.87,1.9,1.487,289,3,recruits,chrysurus,289,1,0,1,0,0,0,0,0,0,0,0
171,1.736,1.7,1.387,290,3,recruits,chrysurus,290,1,0,0,0,0,0,0,0,0,1,0
172,1.836,2.2,1.7,291,3,recruits,chrysurus,291,1,0,0,1,0,0,0,0,0,0,0
173,1.492,2.3,2.773,293,3,recruits,moluccensis,293,1,0,0,0,0,0,0,0,1,0,0
174,1.707,1.8,1.44,294,3,recruits,chrysurus,294,1,0,0,1,0,0,0,0,0,0,0
175,1.849,1.8,1.32,295,3,recruits,chrysurus,295,1,1,0,0,0,0,0,0,0,0,0
176,1.846,1.9,1.293,296,3,recruits,chrysurus,296,1,0,0,1,0,0,0,0,0,0,0
177,1.736,2,1.347,298,2,recruits,chrysurus,298,1,0,0,1,0,0,0,0,0,0,0
178,1.947,2.2,1.653,299,2,recruits,chrysurus,299,1,0,0,0,0,0,0,0,1,0,0
179,1.734,2,1.413,300,2,recruits,chrysurus,300,1,0,1,0,0,0,0,0,0,0,0
180,1.538,2.4,2.567,303,2,recruits,moluccensis,303,1,0,0,0,0,0,1,0,0,0,0
181,1.778,2.4,1.267,306,2,recruits,chrysurus,306,1,0,0,0,1,0,0,0,0,0,0
182,1.817,2.4,1.36,307,2,recruits,chrysurus,307,1,0,1,0,0,0,0,0,0,0,0
183,1.429,2.6,1.967,308,3,recruits,moluccensis,308,1,0,0,0,0,0,0,0,1,0,0
184,1.83,1.7,1.4,311,3,recruits,chrysurus,311,1,1,0,0,0,0,0,0,0,0,0
185,1.582,1.6,2.713,312,3,recruits,moluccensis,312,1,0,0,0,0,0,0,0,1,0,0
186,1.614,1.9,4.147,313,3,recruits,moluccensis,313,1,0,0,0,0,0,0,0,1,0,0
187,1.487,1.8,2.44,314,3,recruits,moluccensis,314,1,0,0,0,0,0,0,0,1,0,0
188,1.642,2.5,2.32,315,3,recruits,moluccensis,315,1,0,0,0,0,0,0,0,0,1,0
189,1.544,2.8,2.68,316,3,recruits,moluccensis,316,1,0,0,0,0,0,0,0,1,0,0
190,1.696,3.7,1.407,319,2,recruits,amboinensis,319,1,0,0,0,0,0,0,0,0,1,0
192,1.894,2.5,1.253,322,2,recruits,chrysurus,322,1,0,1,0,0,0,0,0,0,0,0
193,1.503,2.6,2.34,323,2,recruits,moluccensis,323,1,0,0,0,0,0,0,0,1,0,0
194,1.607,2,2.533,325,2,recruits,moluccensis,325,1,0,0,0,0,0,0,0,1,0,0
195,1.594,2.1,1.833,326,2,recruits,moluccensis,326,1,0,0,0,0,0,0,0,1,0,0
196,1.741,2.7,1.513,328,3,recruits,amboinensis,328,1,1,0,0,0,0,0,0,0,0,0
197,1.801,2.7,1.633,329,3,recruits,amboinensis,329,1,0,0,0,0,0,0,0,0,1,0
198,1.628,2.6,1.833,330,3,recruits,moluccensis,330,1,0,0,0,0,0,0,0,1,0,0
200,1.742,3.4,1.74,332,3,recruits,amboinensis,332,1,0,0,0,0,0,1,0,0,0,0
201,1.698,3.6,2.187,333,3,recruits,amboinensis,333,1,0,0,0,0,0,0,0,1,0,0
202,1.611,1.6,3.267,334,3,recruits,moluccensis,334,1,0,0,0,0,0,0,0,1,0,0
203,2.6,2.5,1.806666667,6,3,juvenile,moluccensis,6,1,0,0,0,0,0,0,0,1,0,0
204,2.6,1.4,1.273333333,7,3,juvenile,chrysurus,7,1,1,0,0,0,0,0,0,0,0,0
205,2.7,1.4,1.26,8,3,juvenile,chrysurus,8,1,1,0,0,0,0,0,0,0,0,0
206,3.2,3.4,1.26,9,3,juvenile,amboinensis,9,1,0,0,0,1,0,0,0,0,0,0
207,3.9,2.5,1.633333333,10,3,juvenile,amboinensis,10,1,0,0,0,0,0,0,0,0,1,0
208,2.8,1.2,1.613333333,11,3,juvenile,moluccensis,11,1,0,0,0,0,0,0,0,0,1,0
209,3.3,2.5,1.393333333,12,3,juvenile,amboinensis,12,1,1,0,0,0,0,0,0,0,0,0
210,3.3,2.3,1.466666667,13,2,juvenile,chrysurus,13,1,0,0,0,0,0,1,0,0,0,0
211,3.1,2,1.873333333,14,2,juvenile,moluccensis,14,1,0,0,0,0,0,1,0,0,0,0
212,3.7,3.1,1.2,15,2,juvenile,amboinensis,15,1,0,0,0,1,0,0,0,0,0,0
213,3.3,2.1,1.453333333,16,2,juvenile,amboinensis,16,1,0,0,0,0,0,1,0,0,0,0
214,3.1,2.1,1.42,17,2,juvenile,chrysurus,17,1,1,0,0,0,0,0,0,0,0,0
215,3,2.3,2,18,2,juvenile,moluccensis,18,1,0,0,0,0,0,0,1,0,0,0
216,2.5,2.3,2.473333333,25,3,juvenile,moluccensis,25,1,0,0,0,0,0,0,0,1,0,0
217,3.1,2,1.46,26,3,juvenile,amboinensis,26,1,1,0,0,0,0,0,0,0,0,0
218,3.3,1.7,1.946666667,27,3,juvenile,moluccensis,27,1,0,0,0,0,0,0,0,1,0,0
219,3.4,1.7,1.64,28,3,juvenile,chrysurus,28,1,1,0,0,0,0,0,0,0,0,0
220,3.9,1.7,1.54,29,3,juvenile,chrysurus,29,1,0,0,1,0,0,0,0,0,0,0
221,4,2.7,1.54,30,3,juvenile,amboinensis,30,1,0,0,0,0,0,1,0,0,0,0
222,2.7,3.5,2.366666667,31,3,juvenile,moluccensis,31,1,0,0,0,0,0,1,0,0,0,0
223,3.5,3.3,1.446666667,32,3,juvenile,amboinensis,32,1,0,0,0,0,0,0,0,0,1,0
224,3.8,1.7,1.626666667,33,3,juvenile,chrysurus,33,1,0,0,0,0,0,1,0,0,0,0
225,2.8,1.7,1.833333333,34,3,juvenile,moluccensis,34,1,0,0,0,0,0,0,0,1,0,0
226,2.8,3.6,1.76,35,3,juvenile,moluccensis,35,1,0,0,0,0,0,0,0,0,1,0
227,3.3,3.6,1.473333333,36,3,juvenile,amboinensis,36,1,0,0,0,1,0,0,0,0,0,0
228,3.6,1.5,1.46,37,3,juvenile,chrysurus,37,1,1,0,0,0,0,0,0,0,0,0
229,3,2.2,1.486666667,38,3,juvenile,chrysurus,38,1,0,1,0,0,0,0,0,0,0,0
230,3.1,2.6,1.413333333,39,3,juvenile,amboinensis,39,1,0,1,0,0,0,0,0,0,0,0
231,3.5,2.8,1.52,40,2,juvenile,moluccensis,40,1,0,1,0,0,0,0,0,0,0,0
232,3.2,2.9,1.68,41,2,juvenile,amboinensis,41,1,0,0,0,0,0,0,0,0,1,0
233,3.4,2.1,1.586666667,42,2,juvenile,chrysurus,42,1,1,0,0,0,0,0,0,0,0,0
234,3.1,1.5,1.846666667,43,2,juvenile,moluccensis,43,1,0,0,0,0,0,0,0,1,0,0
235,3.3,1.5,1.76,44,2,juvenile,chrysurus,44,1,1,0,0,0,0,0,0,0,0,0
236,3.2,1.2,2.033333333,45,2,juvenile,chrysurus,45,1,0,0,0,0,1,0,0,0,0,0
237,4,3.1,1.56,46,2,juvenile,amboinensis,46,1,0,0,0,1,0,0,0,0,0,0
238,3.5,2.5,1.553333333,47,2,juvenile,moluccensis,47,1,0,0,1,0,0,0,0,0,0,0
239,3.4,2.6,1.513333333,48,2,juvenile,amboinensis,48,1,0,0,1,0,0,0,0,0,0,0
240,2.8,2.4,1.68,49,2,juvenile,moluccensis,49,1,1,0,0,0,0,0,0,0,0,0
241,3.5,2.3,1.686666667,50,2,juvenile,amboinensis,50,1,0,0,0,0,0,0,0,1,0,0
242,3.4,2,1.3,51,2,juvenile,chrysurus,51,1,0,1,0,0,0,0,0,0,0,0
243,3.2,1.8,1.633333333,52,2,juvenile,amboinensis,52,1,1,0,0,0,0,0,0,0,0,0
244,3.8,1.9,1.326666667,53,2,juvenile,amboinensis,53,1,1,0,0,0,0,0,0,0,0,0
245,3.4,1.8,1.42,54,2,juvenile,chrysurus,54,1,0,0,0,0,0,0,0,1,0,0
246,3.4,2.5,1.433333333,82,2,juvenile,moluccensis,82,1,0,1,0,0,0,0,0,0,0,0
247,2.9,3.7,1.273333333,83,2,juvenile,chrysurus,83,1,1,0,0,0,0,0,0,0,0,0
248,2.7,3.4,1.76,84,2,juvenile,moluccensis,84,1,0,0,0,0,0,0,0,1,0,0
249,3.2,2.6,1.833333333,85,2,juvenile,chrysurus,85,1,0,0,0,0,0,0,0,0,1,0
250,4.3,3.2,1.28,86,2,juvenile,amboinensis,86,1,0,0,0,1,0,0,0,0,0,0
251,3.6,3.4,1.726666667,87,2,juvenile,amboinensis,87,1,0,0,0,0,0,1,0,0,0,0
252,2.6,3.9,1.926666667,88,3,juvenile,amboinensis,88,1,0,0,0,0,0,1,0,0,0,0
253,2.9,3.2,1.9,89,3,juvenile,moluccensis,89,1,0,1,0,0,0,0,0,0,0,0
254,3.5,3.4,1.466666667,90,3,juvenile,amboinensis,90,1,0,0,0,0,0,0,0,1,0,0
255,3.3,2,2.22,91,3,juvenile,moluccensis,91,1,0,0,0,0,0,1,0,0,0,0
256,3.5,1.5,1.273333333,92,3,juvenile,chrysurus,92,1,0,1,0,0,0,0,0,0,0,0
257,3.7,1.6,1.5,93,3,juvenile,chrysurus,93,1,0,0,1,0,0,0,0,0,0,0
258,3.1,2.7,1.846666667,94,2,juvenile,moluccensis,94,1,0,0,0,0,0,0,0,1,0,0
259,3.9,2.3,3.333333333,95,2,juvenile,chrysurus,95,1,1,0,0,0,0,0,0,0,0,0
260,3,2,2.38,96,2,juvenile,moluccensis,96,1,0,0,0,0,0,1,0,0,0,0
261,4,1.9,2.206666667,97,2,juvenile,amboinensis,97,1,0,0,0,0,0,1,0,0,0,0
262,3.2,1.5,1.44,98,2,juvenile,chrysurus,98,1,0,0,1,0,0,0,0,0,0,0
263,3.9,1.9,1.36,99,2,juvenile,amboinensis,99,1,0,0,0,0,0,1,0,0,0,0
264,2.4,3.4,1.493333333,100,3,juvenile,moluccensis,100,1,0,0,0,0,0,0,0,1,0,0
265,2.2,3.8,1.346666667,101,3,juvenile,amboinensis,101,1,1,0,0,0,0,0,0,0,0,0
266,3.4,3.1,1.446666667,102,3,juvenile,moluccensis,102,1,0,0,0,0,0,0,0,1,0,0
267,3.1,1.4,1.753333333,103,3,juvenile,chrysurus,103,1,0,0,0,0,0,1,0,0,0,0
268,3.2,1.2,1.52,104,3,juvenile,chrysurus,104,1,1,0,0,0,0,0,0,0,0,0
269,2.3,2.6,1.253333333,105,3,juvenile,amboinensis,105,1,0,1,0,0,0,0,0,0,0,0
270,2.2,3.7,1.633333333,127,3,juvenile,amboinensis,127,1,0,0,1,0,0,0,0,0,0,0
271,2.1,3.4,2.54,128,3,juvenile,amboinensis,128,1,0,0,0,0,0,0,0,0,1,0
272,2.7,3.5,1.74,129,3,juvenile,moluccensis,129,1,0,1,0,0,0,0,0,0,0,0
273,3,3.2,1.853333333,130,3,juvenile,moluccensis,130,1,0,0,0,0,0,0,0,1,0,0
274,2.3,1.8,1.62,131,3,juvenile,chrysurus,131,1,0,1,0,0,0,0,0,0,0,0
275,2.6,1.4,1.633333333,132,3,juvenile,chrysurus,132,1,0,0,1,0,0,0,0,0,0,0
276,3.2,1.7,1.953333333,139,3,juvenile,moluccensis,139,1,1,0,0,0,0,0,0,0,0,0
277,2.4,1.6,1.926666667,140,3,juvenile,chrysurus,140,1,0,0,0,0,1,0,0,0,0,0
278,2.6,2.9,1.573333333,141,3,juvenile,amboinensis,141,1,0,0,1,0,0,0,0,0,0,0
279,2.6,3,1.573333333,142,2,juvenile,amboinensis,142,1,0,1,0,0,0,0,0,0,0,0
280,3.7,1.8,1.733333333,143,2,juvenile,moluccensis,143,1,0,0,1,0,0,0,0,0,0,0
281,2.9,1.7,1.866666667,144,2,juvenile,moluccensis,144,1,0,0,0,0,0,0,0,0,1,0
282,2.6,1.6,1.513333333,145,2,juvenile,chrysurus,145,1,0,0,0,0,1,0,0,0,0,0
283,3.3,1.5,1.86,146,2,juvenile,moluccensis,146,1,1,0,0,0,0,0,0,0,0,0
284,3.4,1.6,1.6,147,2,juvenile,moluccensis,147,1,0,0,0,0,0,0,0,0,1,0
285,2.5,2.1,2.086666667,148,2,juvenile,amboinensis,148,1,0,0,0,0,0,1,0,0,0,0
286,3.2,1.8,1.533333333,149,2,juvenile,chrysurus,149,1,1,0,0,0,0,0,0,0,0,0
287,2.9,1.9,1.44,150,2,juvenile,chrysurus,150,1,0,0,0,0,0,1,0,0,0,0
288,2.8,3.7,1.5,169,3,juvenile,amboinensis,169,1,1,0,0,0,0,0,0,0,0,0
289,3.6,2.5,1.673333333,170,3,juvenile,moluccensis,170,1,1,0,0,0,0,0,0,0,0,0
