ID,TL,Depth,mean Rug,ID.chapter,Site,Life stage,Species,Pavement,Coarse rubble,Fine rubble,Sand,Algae,Soft Coral,Coarse Branching,Fine Branching,Mounding Coral,"Other (clam, sponges, holes)"
30,1.6,2.7,1.42,74,2,recruits,amboinensis,31,7,15,34,2,6,0,0,5,0
31,1.6,2,1.633,75,2,recruits,moluccensis,15,9,5,1,0,3,0,15,52,0
32,1.6,3.2,1.6,77,3,recruits,moluccensis,24,3,1,23,0,1,0,12,36,0
33,1.7,3.1,1.553,78,3,recruits,amboinensis,28,16,0,49,2,0,0,0,5,0
34,1.6,3.1,1.553,79,3,recruits,amboinensis,28,16,0,49,2,0,0,0,5,0
35,1.6,1.7,1.867,80,3,recruits,moluccensis,36,0,2,1,0,37,0,10,13,1
36,1.6,2,1.833,81,3,recruits,moluccensis,33,2,0,2,0,27,0,22,12,2
37,1.6,1.4,1.66,82,3,recruits,moluccensis,55,8,2,0,3,0,0,27,3,2
38,1.6,1.6,1.713,83,3,recruits,moluccensis,18,11,5,2,1,29,0,15,5,14
39,1.5,1.6,1.713,84,3,recruits,moluccensis,18,11,5,2,1,29,0,15,5,14
40,1.4,2.5,2.207,85,3,recruits,moluccensis,26,3,3,13,0,11,0,21,22,1
41,1.5,3,1.407,86,3,recruits,moluccensis,18,43,5,7,1,11,0,3,11,1
42,1.4,2.6,1.807,87,3,recruits,moluccensis,50,0,0,0,1,0,1,13,32,3
43,1.6,1.2,1.993,88,3,recruits,moluccensis,48,4,2,15,0,0,0,22,7,2
44,1.5,1.2,1.993,89,3,recruits,moluccensis,48,4,2,15,0,0,0,22,7,2
45,1.6,1.2,1.993,90,3,recruits,moluccensis,48,4,2,15,0,0,0,22,7,2
46,1.7,1.2,1.993,91,3,recruits,moluccensis,48,4,2,15,0,0,0,22,7,2
47,1.6,3,1.72,93,3,recruits,amboinensis,22,1,8,23,0,2,0,14,30,0
48,1.6,3.2,1.793,94,2,recruits,moluccensis,11,3,1,26,4,30,0,12,13,0
49,1.6,3.2,1.793,95,2,recruits,amboinensis,11,3,1,26,4,30,0,12,13,0
50,1.7,3,1.333,96,2,recruits,amboinensis,17,12,12,33,0,26,0,0,0,0
51,1.5,2.2,2.033,97,2,recruits,moluccensis,34,8,2,0,2,13,0,27,9,5
52,1.6,2.2,2.033,98,2,recruits,moluccensis,34,8,2,0,2,13,0,27,9,5
53,1.5,2.9,1.553,99,2,recruits,moluccensis,34,7,26,5,3,11,0,12,2,0
54,1.3,2.9,1.627,100,2,recruits,moluccensis,31,13,10,10,8,2,0,18,7,1
55,1.6,2.6,1.607,101,2,recruits,moluccensis,15,18,7,21,0,27,0,12,0,0
56,1.9,2.8,1.5,104,2,recruits,chrysurus,46,9,6,7,3,7,0,6,16,0
57,1.7,2.4,1.34,105,2,recruits,chrysurus,19,11,28,28,0,2,0,1,9,2
58,2.0,2.2,1.167,106,2,recruits,chrysurus,16,30,34,17,0,3,0,0,0,0
59,1.7,2.2,1.32,109,3,recruits,amboinensis,9,0,2,74,1,0,1,13,0,0
60,1.7,2.7,1.54,111,3,recruits,amboinensis,31,1,10,14,0,2,0,10,30,2
61,1.7,3.1,1.207,112,3,recruits,amboinensis,29,12,7,46,0,1,0,3,2,0
62,1.6,3.1,1.207,113,3,recruits,amboinensis,29,12,7,46,0,1,0,3,2,0
63,1.6,3,1.76,114,3,recruits,amboinensis,11,4,12,6,1,41,0,24,1,0
64,1.7,3.4,1.973,115,3,recruits,amboinensis,1,10,3,13,0,73,0,0,0,0
65,1.6,2.5,1.667,116,2,recruits,moluccensis,5,0,0,0,0,86,0,3,5,1
66,1.5,2.5,1.667,117,2,recruits,moluccensis,5,0,0,0,0,86,0,3,5,1
67,1.7,2.7,1.4,118,2,recruits,amboinensis,38,8,5,32,0,1,0,13,3,0
68,1.6,2.7,1.4,119,2,recruits,moluccensis,38,8,5,32,0,1,0,13,3,0
69,1.6,2.7,1.353,120,2,recruits,amboinensis,12,0,4,55,0,18,0,0,6,5
70,2.2,2,1.447,122,2,recruits,chrysurus,51,24,6,15,4,0,0,0,0,0
71,2.1,2.1,1.4,123,2,recruits,chrysurus,24,16,9,43,2,6,0,0,0,0
72,1.9,1.9,1.413,124,2,recruits,chrysurus,26,27,9,22,7,2,4,0,3,0
73,1.8,1.8,1.64,126,2,recruits,amboinensis,21,11,4,48,1,13,0,0,2,0
74,1.9,1.6,1.66,127,2,recruits,chrysurus,46,7,14,16,8,1,2,6,0,0
75,1.6,1,2.207,129,3,recruits,moluccensis,40,3,2,1,1,24,0,20,6,3
76,1.6,1,2.207,130,3,recruits,moluccensis,40,3,2,1,1,24,0,20,6,3
77,1.6,1,2.207,131,3,recruits,moluccensis,40,3,2,1,1,24,0,20,6,3
78,1.5,1,2.207,132,3,recruits,moluccensis,40,3,2,1,1,24,0,20,6,3
79,1.7,1.2,1.447,134,3,recruits,chrysurus,9,58,10,21,0,0,0,2,0,0
80,1.6,0.9,1.747,136,3,recruits,moluccensis,39,26,15,2,2,0,0,10,1,5
81,1.9,1.4,1.34,140,3,recruits,chrysurus,50,3,30,8,3,2,2,1,0,1
82,1.9,1.7,1.227,141,3,recruits,chrysurus,22,15,16,47,0,0,0,0,0,0
83,1.9,1.8,1.367,142,3,recruits,chrysurus,14,35,17,32,1,1,0,0,0,0
84,1.9,1.5,1.293,143,3,recruits,chrysurus,25,41,15,10,2,3,0,1,3,0
85,2.1,1.6,1.22,144,3,recruits,chrysurus,40,26,12,20,2,0,0,0,0,0
86,2.0,1.6,1.467,145,3,recruits,chrysurus,30,43,3,17,0,1,0,4,2,0
87,2.0,1.9,1.447,146,3,recruits,chrysurus,29,22,25,14,0,1,1,6,0,2
88,2.0,2.4,1.167,148,2,recruits,chrysurus,23,16,21,34,0,6,0,0,0,0
89,1.8,2.5,1.367,150,2,recruits,chrysurus,14,30,16,33,1,1,0,0,4,1
90,2.0,2.4,1.3,152,2,recruits,chrysurus,43,14,5,30,0,4,0,0,4,0
91,2.0,1.5,1.313,153,3,recruits,chrysurus,44,9,11,13,0,8,1,13,1,0
92,1.6,1.6,1.473,156,3,recruits,moluccensis,26,3,16,8,18,12,0,14,2,1
93,2.0,1.7,1.167,158,3,recruits,amboinensis,21,4,9,47,0,6,2,4,7,0
94,1.9,1.6,1.767,159,3,recruits,amboinensis,54,9,8,3,4,11,1,5,3,2
95,1.8,1.5,1.287,160,3,recruits,amboinensis,38,10,25,16,0,2,1,8,0,0
96,2.0,2.3,1.467,162,2,recruits,chrysurus,25,25,24,17,0,9,0,0,0,0
97,1.9,2.3,1.287,163,2,recruits,chrysurus,14,32,26,26,0,2,0,0,0,0
98,2.0,3.2,2,165,2,recruits,amboinensis,12,2,2,26,0,4,0,14,37,3
99,1.6,3.2,1.78,166,2,recruits,amboinensis,17,3,2,49,0,8,0,1,20,0
100,2.0,2.1,1.687,169,2,recruits,chrysurus,28,9,16,18,2,9,0,9,6,3
101,1.9,2.1,1.467,170,2,recruits,chrysurus,26,4,5,16,0,28,1,12,5,3
102,1.6,3.4,1.82,171,2,recruits,amboinensis,24,0,1,17,7,24,0,11,16,0
103,1.7,3.4,1.82,172,2,recruits,amboinensis,24,0,1,17,7,24,0,11,16,0
104,1.6,3.6,2.62,173,3,recruits,moluccensis,12,6,1,24,0,3,0,14,36,4
105,1.7,3.5,1.847,174,3,recruits,moluccensis,9,5,14,7,2,41,0,20,1,1
106,1.6,3.6,2.733,175,3,recruits,amboinensis,10,15,8,30,1,33,0,0,3,0
107,1.7,1.6,3.933,176,3,recruits,moluccensis,24,8,15,4,2,7,8,4,21,7
108,1.6,1.6,3.933,177,3,recruits,moluccensis,24,8,15,4,2,7,8,4,21,7
109,1.8,3.4,1.84,179,3,recruits,amboinensis,5,2,0,50,3,16,0,16,7,1
110,2.1,3.4,1.84,180,3,recruits,amboinensis,5,2,0,50,3,16,0,16,7,1
111,1.7,3.3,2.813,181,3,recruits,moluccensis,22,4,5,14,1,12,0,13,29,0
112,1.6,3.3,2.813,182,3,recruits,moluccensis,22,4,5,14,1,12,0,13,29,0
113,1.8,1.1,2.033,187,3,recruits,chrysurus,50,6,10,15,3,6,1,3,5,1
114,2.1,1.3,1.327,188,3,recruits,chrysurus,44,14,7,31,1,0,0,0,3,0
115,2.0,1.2,1.247,189,3,recruits,chrysurus,42,10,21,11,2,7,0,4,3,0
116,1.6,1.8,2.853,193,3,recruits,moluccensis,32,4,3,2,0,0,0,16,43,0
117,1.7,1.8,2.853,194,3,recruits,moluccensis,32,4,3,2,0,0,0,16,43,0
118,1.7,3.3,1.353,196,2,recruits,amboinensis,35,8,5,30,3,8,0,4,3,4
119,1.8,3.2,1.413,197,2,recruits,amboinensis,15,21,6,56,0,2,0,0,0,0
120,1.7,2.5,1.28,199,2,recruits,chrysurus,31,25,10,30,2,2,0,0,0,0
121,1.8,2.5,1.28,200,2,recruits,chrysurus,31,25,10,30,2,2,0,0,0,0
122,2.0,2,1.233,202,2,recruits,chrysurus,34,16,14,28,1,3,0,0,4,0
123,1.7,3.9,1.333,204,2,recruits,amboinensis,16,12,13,59,0,0,0,0,0,0
124,2.2,2.3,1.313,205,2,recruits,chrysurus,24,25,16,6,7,21,0,1,0,0
125,1.4,2.3,1.74,207,2,recruits,moluccensis,32,4,2,13,2,27,0,17,1,2
126,1.6,1.9,3.413,210,2,recruits,moluccensis,7,6,9,8,2,62,0,4,2,0
127,1.7,3.8,1.553,214,3,recruits,amboinensis,12,8,4,66,0,0,0,9,1,0
128,1.8,3.8,1.553,215,3,recruits,amboinensis,12,8,4,66,0,0,0,9,1,0
129,1.6,2.6,2.173,216,3,recruits,moluccensis,24,28,6,2,0,3,0,23,9,5
130,1.9,1.4,1.467,224,3,recruits,chrysurus,26,50,5,15,0,0,0,2,2,0
131,1.7,1.7,2.187,228,3,recruits,amboinensis,39,2,12,8,1,19,2,15,2,0
132,1.6,2.7,1.453,235,2,recruits,amboinensis,24,4,13,51,0,4,0,0,4,0
133,1.8,2.5,2.1,236,2,recruits,chrysurus,19,15,37,11,5,9,0,4,0,0
134,2.1,2.4,1.613,237,2,recruits,chrysurus,21,20,14,32,5,3,3,2,0,0
135,1.8,3.2,2.1,238,2,recruits,amboinensis,35,6,3,15,4,20,0,0,15,2
136,1.7,3.2,2.1,239,2,recruits,amboinensis,35,6,3,15,4,20,0,0,15,2
137,1.9,3.3,1.3,240,2,recruits,amboinensis,91,0,2,4,1,0,0,0,1,1
138,1.9,3.3,1.3,241,2,recruits,amboinensis,91,0,2,4,1,0,0,0,1,1
139,1.8,3.5,1.533,242,2,recruits,amboinensis,7,6,4,69,0,14,0,0,0,0
140,1.8,3.5,1.533,243,2,recruits,amboinensis,7,6,4,69,0,14,0,0,0,0
141,1.8,3.1,1.873,244,2,recruits,amboinensis,17,6,4,25,1,5,0,2,40,0
142,1.6,1.6,1.647,247,3,recruits,moluccensis,25,2,7,25,6,12,0,12,5,6
143,1.5,2.9,2.273,249,3,recruits,moluccensis,24,2,0,5,1,1,4,24,39,0
144,1.6,3,2.04,250,3,recruits,moluccensis,28,0,5,15,0,12,0,26,13,1
145,1.6,3.1,2.273,251,3,recruits,amboinensis,6,0,7,33,0,54,0,0,0,0
146,1.8,3.2,1.46,252,3,recruits,amboinensis,29,1,3,26,0,21,0,3,17,0
147,1.8,1.3,1.273,253,3,recruits,chrysurus,29,4,15,36,0,15,0,0,1,0
148,1.9,1.4,1.413,254,3,recruits,chrysurus,47,7,22,8,9,4,0,1,2,0
149,1.9,1.6,1.547,255,3,recruits,chrysurus,42,3,6,20,3,5,0,10,7,4
150,1.9,1.3,1.22,257,3,recruits,chrysurus,46,4,12,3,4,9,0,4,18,0
151,1.7,1.4,1.253,258,3,recruits,chrysurus,45,5,21,26,0,0,1,1,1,0
152,1.7,1.4,1.2,259,3,recruits,chrysurus,21,15,14,48,0,0,0,0,2,0
153,1.9,1.5,1.293,260,3,recruits,chrysurus,36,5,16,38,0,1,0,2,2,0
154,1.9,2.3,1.353,261,2,recruits,chrysurus,39,17,14,16,12,2,0,0,0,0
155,1.8,2.2,1.373,262,2,recruits,chrysurus,43,16,22,11,8,0,0,0,0,0
156,1.9,2.2,1.373,263,2,recruits,chrysurus,43,16,22,11,8,0,0,0,0,0
157,2.0,2.1,1.407,264,2,recruits,chrysurus,39,14,23,12,10,2,0,0,0,0
158,2.0,1.8,1.387,265,2,recruits,chrysurus,34,13,9,28,8,4,0,3,1,0
159,2.0,1.6,1.72,267,2,recruits,chrysurus,38,11,30,11,1,0,6,0,3,0
160,1.9,1.6,1.38,268,2,recruits,chrysurus,23,20,37,17,2,0,0,0,1,0
161,1.9,1.8,1.7,270,2,recruits,chrysurus,60,5,1,19,0,6,0,2,7,0
162,1.5,3.6,1.967,271,3,recruits,amboinensis,27,1,1,48,1,9,1,0,12,0
163,1.7,3.2,1.873,272,3,recruits,moluccensis,49,0,7,6,0,0,0,15,23,0
164,1.9,2.2,1.647,275,2,recruits,chrysurus,28,15,12,13,2,14,0,0,14,2
165,1.9,2.3,1.54,279,2,recruits,chrysurus,26,5,3,15,1,46,0,1,2,1
166,1.9,2.1,1.36,280,2,recruits,chrysurus,47,4,32,12,5,0,0,0,0,0
167,1.8,1.4,1.26,283,3,recruits,chrysurus,61,3,11,13,6,2,0,0,4,0
168,1.7,1.3,1.227,284,3,recruits,chrysurus,66,9,10,5,3,2,4,0,1,0
169,1.5,2.5,1.367,286,3,recruits,moluccensis,57,2,7,0,2,0,1,23,7,1
170,1.9,1.9,1.487,289,3,recruits,chrysurus,39,7,16,8,6,2,0,16,3,3
171,1.7,1.7,1.387,290,3,recruits,chrysurus,54,2,13,13,1,1,5,0,11,0
172,1.8,2.2,1.7,291,3,recruits,chrysurus,42,7,16,22,5,0,0,5,3,0
173,1.5,2.3,2.773,293,3,recruits,moluccensis,43,0,8,0,6,9,0,22,6,6
174,1.7,1.8,1.44,294,3,recruits,chrysurus,26,7,29,34,0,0,0,3,1,0
175,1.8,1.8,1.32,295,3,recruits,chrysurus,48,10,17,16,2,0,0,0,7,0
176,1.8,1.9,1.293,296,3,recruits,chrysurus,21,6,24,33,3,4,3,3,3,0
177,1.7,2,1.347,298,2,recruits,chrysurus,47,11,24,6,3,1,5,0,3,0
178,1.9,2.2,1.653,299,2,recruits,chrysurus,20,3,9,59,4,1,0,4,0,0
179,1.7,2,1.413,300,2,recruits,chrysurus,30,15,28,16,8,3,0,0,0,0
180,1.5,2.4,2.567,303,2,recruits,moluccensis,22,3,4,10,5,52,0,4,0,0
181,1.8,2.4,1.267,306,2,recruits,chrysurus,34,17,18,21,3,2,2,1,2,0
182,1.8,2.4,1.36,307,2,recruits,chrysurus,15,21,34,14,11,1,3,0,1,0
183,1.4,2.6,1.967,308,3,recruits,moluccensis,30,7,9,4,2,18,1,10,18,1
184,1.8,1.7,1.4,311,3,recruits,chrysurus,36,10,12,5,2,19,0,13,2,1
185,1.6,1.6,2.713,312,3,recruits,moluccensis,32,6,17,1,1,0,1,33,9,0
186,1.6,1.9,4.147,313,3,recruits,moluccensis,31,4,9,0,10,31,0,10,2,3
187,1.5,1.8,2.44,314,3,recruits,moluccensis,37,0,1,0,3,28,0,27,3,1
188,1.6,2.5,2.32,315,3,recruits,moluccensis,30,2,1,6,1,25,0,26,5,4
189,1.5,2.8,2.68,316,3,recruits,moluccensis,35,4,7,1,5,29,0,7,12,0
190,1.7,3.7,1.407,319,2,recruits,amboinensis,13,0,1,54,0,8,0,2,22,0
191,1.8,2.5,1.253,321,2,recruits,chrysurus,19,13,21,37,0,4,0,1,5,0
192,1.9,2.5,1.253,322,2,recruits,chrysurus,19,13,21,37,0,4,0,1,5,0
193,1.5,2.6,2.34,323,2,recruits,moluccensis,66,1,5,0,1,0,0,9,9,9
194,1.6,2,2.533,325,2,recruits,moluccensis,22,0,3,21,2,2,1,10,38,1
195,1.6,2.1,1.833,326,2,recruits,moluccensis,22,0,4,6,7,34,0,13,11,3
196,1.7,2.7,1.513,328,3,recruits,amboinensis,46,3,1,27,2,9,0,1,9,2
197,1.8,2.7,1.633,329,3,recruits,amboinensis,19,0,0,9,2,11,0,7,49,3
198,1.6,2.6,1.833,330,3,recruits,moluccensis,12,0,0,48,0,4,0,10,26,0
199,1.5,3.4,1.74,331,3,recruits,amboinensis,0,12,0,56,2,30,0,0,0,0
200,1.7,3.4,1.74,332,3,recruits,amboinensis,0,12,0,56,2,30,0,0,0,0
201,1.7,3.6,2.187,333,3,recruits,amboinensis,7,0,1,36,0,0,0,54,2,0
202,1.6,1.6,3.267,334,3,recruits,moluccensis,38,3,18,0,2,1,0,8,29,1
203,3.3,2.5,1.806666667,6,3,juvenile,moluccensis,29,11,28,7,2,2,0,16,5,0
204,3.3,1.4,1.273333333,7,3,juvenile,chrysurus,46,1,18,20,2,5,0,7,1,0
205,3.5,1.4,1.26,8,3,juvenile,chrysurus,51,0,7,18,1,20,0,1,2,0
206,4.0,3.4,1.26,9,3,juvenile,amboinensis,14,14,2,68,0,0,0,0,2,0
207,4.5,2.5,1.633333333,10,3,juvenile,amboinensis,20,1,0,7,3,11,0,10,45,3
208,3.6,1.2,1.613333333,11,3,juvenile,moluccensis,30,1,5,29,6,7,1,14,7,0
209,4.0,2.5,1.393333333,12,3,juvenile,amboinensis,57,5,9,3,1,4,0,14,7,0
210,4.2,2.3,1.466666667,13,2,juvenile,chrysurus,44,2,10,24,3,17,0,0,0,0
211,3.9,2,1.873333333,14,2,juvenile,moluccensis,16,44,16,0,4,11,0,0,2,7
212,4.2,3.1,1.2,15,2,juvenile,amboinensis,30,0,1,52,3,5,0,6,3,0
213,4.1,2.1,1.453333333,16,2,juvenile,amboinensis,7,0,0,3,0,88,0,2,0,0
214,4.1,2.1,1.42,17,2,juvenile,chrysurus,35,9,26,29,1,0,0,0,1,0
215,3.7,2.3,2,18,2,juvenile,moluccensis,23,22,4,25,3,13,0,10,0,0
216,2.9,2.3,2.473333333,25,3,juvenile,moluccensis,36,3,11,0,2,20,0,14,14,0
217,3.9,2,1.46,26,3,juvenile,amboinensis,55,8,16,4,1,2,5,8,0,1
218,4.2,1.7,1.946666667,27,3,juvenile,moluccensis,66,6,3,2,7,0,2,8,5,1
219,4.3,1.7,1.64,28,3,juvenile,chrysurus,44,24,13,3,0,14,0,0,2,0
220,5.0,1.7,1.54,29,3,juvenile,chrysurus,32,26,24,14,0,0,0,0,4,0
221,5.0,2.7,1.54,30,3,juvenile,amboinensis,43,5,14,8,0,15,0,0,15,0
222,3.4,3.5,2.366666667,31,3,juvenile,moluccensis,24,10,5,10,0,23,0,23,5,0
223,4.4,3.3,1.446666667,32,3,juvenile,amboinensis,42,3,3,30,1,3,0,0,18,0
224,4.7,1.7,1.626666667,33,3,juvenile,chrysurus,41,7,9,3,5,21,0,10,3,1
225,3.4,1.7,1.833333333,34,3,juvenile,moluccensis,34,7,15,1,1,1,0,27,13,1
226,3.3,3.6,1.76,35,3,juvenile,moluccensis,14,14,5,28,0,0,0,4,35,0
227,4.2,3.6,1.473333333,36,3,juvenile,amboinensis,8,4,2,51,0,27,0,8,0,0
228,4.5,1.5,1.46,37,3,juvenile,chrysurus,39,2,5,3,6,35,0,1,8,1
229,3.8,2.2,1.486666667,38,3,juvenile,chrysurus,44,15,9,10,5,10,0,0,7,0
230,4.0,2.6,1.413333333,39,3,juvenile,amboinensis,20,34,11,25,5,0,5,0,0,0
231,4.5,2.8,1.52,40,2,juvenile,moluccensis,14,40,34,2,9,0,0,0,1,0
232,4.1,2.9,1.68,41,2,juvenile,amboinensis,20,1,0,35,0,5,0,0,39,0
233,4.3,2.1,1.586666667,42,2,juvenile,chrysurus,54,1,7,21,4,11,0,0,2,0
234,3.8,1.5,1.846666667,43,2,juvenile,moluccensis,25,28,0,0,5,10,27,0,3,2
235,4.4,1.5,1.76,44,2,juvenile,chrysurus,56,0,2,10,20,4,1,0,7,0
236,4.0,1.2,2.033333333,45,2,juvenile,chrysurus,30,9,12,19,11,8,4,3,4,0
237,4.9,3.1,1.56,46,2,juvenile,amboinensis,39,13,5,32,3,4,0,4,0,0
238,4.5,2.5,1.553333333,47,2,juvenile,moluccensis,5,84,4,0,7,0,0,0,0,0
239,4.4,2.6,1.513333333,48,2,juvenile,amboinensis,14,23,14,36,0,10,3,0,0,0
240,3.5,2.4,1.68,49,2,juvenile,moluccensis,48,7,6,4,6,7,0,12,10,0
241,4.6,2.3,1.686666667,50,2,juvenile,amboinensis,24,1,0,47,0,7,0,19,2,0
242,4.2,2,1.3,51,2,juvenile,chrysurus,39,13,28,14,0,1,0,0,5,0
243,4.1,1.8,1.633333333,52,2,juvenile,amboinensis,55,3,7,12,2,0,3,14,3,1
244,4.7,1.9,1.326666667,53,2,juvenile,amboinensis,44,10,11,35,0,0,0,0,0,0
245,4.5,1.8,1.42,54,2,juvenile,chrysurus,30,1,2,42,3,6,0,4,12,0
246,4.4,2.5,1.433333333,82,2,juvenile,moluccensis,0,83,13,0,3,0,0,0,1,0
247,3.9,3.7,1.273333333,83,2,juvenile,chrysurus,33,14,7,44,0,0,0,0,2,0
248,3.5,3.4,1.76,84,2,juvenile,moluccensis,12,1,1,29,0,1,0,18,38,0
249,4.1,2.6,1.833333333,85,2,juvenile,chrysurus,47,12,18,2,6,0,0,6,8,1
250,5.8,3.2,1.28,86,2,juvenile,amboinensis,5,19,13,63,0,0,0,0,0,0
251,4.4,3.4,1.726666667,87,2,juvenile,amboinensis,6,6,2,46,2,31,0,4,3,0
252,3.2,3.9,1.926666667,88,3,juvenile,amboinensis,9,26,6,34,0,21,0,1,3,0
253,3.6,3.2,1.9,89,3,juvenile,moluccensis,42,10,7,9,3,25,0,4,0,0
254,4.4,3.4,1.466666667,90,3,juvenile,amboinensis,30,3,16,42,0,0,7,1,1,0
255,4.1,2,2.22,91,3,juvenile,moluccensis,40,2,16,6,0,25,0,10,1,0
256,4.6,1.5,1.273333333,92,3,juvenile,chrysurus,28,40,21,8,0,0,0,3,0,0
257,4.7,1.6,1.5,93,3,juvenile,chrysurus,19,18,26,26,0,1,0,9,0,1
258,4.0,2.7,1.846666667,94,2,juvenile,moluccensis,24,3,0,24,0,10,0,15,23,1
259,5.1,2.3,3.333333333,95,2,juvenile,chrysurus,45,7,1,0,3,15,0,5,22,2
260,3.9,2,2.38,96,2,juvenile,moluccensis,36,12,0,3,3,36,0,9,1,0
261,4.9,1.9,2.206666667,97,2,juvenile,amboinensis,9,7,1,38,0,45,0,0,0,0
262,4.0,1.5,1.44,98,2,juvenile,chrysurus,41,13,30,7,0,0,3,1,5,0
263,5.1,1.9,1.36,99,2,juvenile,amboinensis,28,16,11,25,3,17,0,0,0,0
264,3.0,3.4,1.493333333,100,3,juvenile,moluccensis,26,2,2,16,0,5,0,13,36,0
265,2.9,3.8,1.346666667,101,3,juvenile,amboinensis,15,8,2,66,0,0,0,7,2,0
266,4.4,3.1,1.446666667,102,3,juvenile,moluccensis,32,7,0,0,0,0,0,28,33,0
267,3.9,1.4,1.753333333,103,3,juvenile,chrysurus,22,26,8,6,0,24,0,0,14,0
268,4.1,1.2,1.52,104,3,juvenile,chrysurus,48,3,12,3,1,16,0,1,15,1
269,3.0,2.6,1.253333333,105,3,juvenile,amboinensis,0,15,8,72,0,0,5,0,0,0
270,2.9,3.7,1.633333333,127,3,juvenile,amboinensis,10,21,25,39,0,3,0,2,0,0
271,2.7,3.4,2.54,128,3,juvenile,amboinensis,24,4,0,23,2,10,0,2,34,1
272,3.5,3.5,1.74,129,3,juvenile,moluccensis,22,3,13,30,5,7,0,16,4,0
273,3.8,3.2,1.853333333,130,3,juvenile,moluccensis,27,9,2,19,2,25,0,16,0,0
274,2.9,1.8,1.62,131,3,juvenile,chrysurus,59,11,12,4,0,0,3,4,7,0
275,3.3,1.4,1.633333333,132,3,juvenile,chrysurus,31,15,9,17,4,18,0,0,6,0
276,4.0,1.7,1.953333333,139,3,juvenile,moluccensis,60,0,0,0,2,1,13,5,16,3
277,3.1,1.6,1.926666667,140,3,juvenile,chrysurus,35,6,19,11,6,13,0,5,4,1
278,3.5,2.9,1.573333333,141,3,juvenile,amboinensis,19,27,9,34,1,4,0,2,4,0
279,3.4,3,1.573333333,142,2,juvenile,amboinensis,6,28,3,57,0,1,0,5,0,0
280,4.6,1.8,1.733333333,143,2,juvenile,moluccensis,4,80,6,0,10,0,0,0,0,0
281,3.6,1.7,1.866666667,144,2,juvenile,moluccensis,27,0,0,0,3,1,0,5,64,0
282,3.3,1.6,1.513333333,145,2,juvenile,chrysurus,29,16,18,3,6,10,0,6,12,0
283,4.2,1.5,1.86,146,2,juvenile,moluccensis,33,9,15,3,14,9,0,2,15,0
284,4.2,1.6,1.6,147,2,juvenile,moluccensis,31,0,0,2,0,3,1,12,49,2
