"ID","TL","Depth","mean.Rug","ID.chapter","Site","life_stage","Species","Pavement","Sand","Algae","Soft.cor","Cbranching","Fbranching","Mcoral","Rubble"
48,1.6,3.2,1.793,94,"2","recruits","moluccensis",11,26,4,30,0,12,13,4
49,1.6,3.2,1.793,95,"2","recruits","amboinensis",11,26,4,30,0,12,13,4
50,1.7,3,1.333,96,"2","recruits","amboinensis",17,33,0,26,0,0,0,24
51,1.5,2.2,2.033,97,"2","recruits","moluccensis",34,0,2,13,0,27,9,10
52,1.6,2.2,2.033,98,"2","recruits","moluccensis",34,0,2,13,0,27,9,10
53,1.5,2.9,1.553,99,"2","recruits","moluccensis",34,5,3,11,0,12,2,33
54,1.3,2.9,1.627,100,"2","recruits","moluccensis",31,10,8,2,0,18,7,23
55,1.6,2.6,1.607,101,"2","recruits","moluccensis",15,21,0,27,0,12,0,25
56,1.9,2.8,1.5,104,"2","recruits","chrysurus",46,7,3,7,0,6,16,15
57,1.7,2.4,1.34,105,"2","recruits","chrysurus",19,28,0,2,0,1,9,39
58,2,2.2,1.167,106,"2","recruits","chrysurus",16,17,0,3,0,0,0,64
59,1.7,2.2,1.32,109,"3","recruits","amboinensis",9,74,1,0,1,13,0,2
60,1.7,2.7,1.54,111,"3","recruits","amboinensis",31,14,0,2,0,10,30,11
61,1.7,3.1,1.207,112,"3","recruits","amboinensis",29,46,0,1,0,3,2,19
62,1.6,3.1,1.207,113,"3","recruits","amboinensis",29,46,0,1,0,3,2,19
63,1.6,3,1.76,114,"3","recruits","amboinensis",11,6,1,41,0,24,1,16
64,1.7,3.4,1.973,115,"3","recruits","amboinensis",1,13,0,73,0,0,0,13
65,1.6,2.5,1.667,116,"2","recruits","moluccensis",5,0,0,86,0,3,5,0
66,1.5,2.5,1.667,117,"2","recruits","moluccensis",5,0,0,86,0,3,5,0
67,1.7,2.7,1.4,118,"2","recruits","amboinensis",38,32,0,1,0,13,3,13
68,1.6,2.7,1.4,119,"2","recruits","moluccensis",38,32,0,1,0,13,3,13
69,1.6,2.7,1.353,120,"2","recruits","amboinensis",12,55,0,18,0,0,6,4
70,2.2,2,1.447,122,"2","recruits","chrysurus",51,15,4,0,0,0,0,30
71,2.1,2.1,1.4,123,"2","recruits","chrysurus",24,43,2,6,0,0,0,25
72,1.9,1.9,1.413,124,"2","recruits","chrysurus",26,22,7,2,4,0,3,36
73,1.8,1.8,1.64,126,"2","recruits","amboinensis",21,48,1,13,0,0,2,15
74,1.9,1.6,1.66,127,"2","recruits","chrysurus",46,16,8,1,2,6,0,21
75,1.6,1,2.207,129,"3","recruits","moluccensis",40,1,1,24,0,20,6,5
76,1.6,1,2.207,130,"3","recruits","moluccensis",40,1,1,24,0,20,6,5
77,1.6,1,2.207,131,"3","recruits","moluccensis",40,1,1,24,0,20,6,5
78,1.5,1,2.207,132,"3","recruits","moluccensis",40,1,1,24,0,20,6,5
79,1.7,1.2,1.447,134,"3","recruits","chrysurus",9,21,0,0,0,2,0,68
80,1.6,0.9,1.747,136,"3","recruits","moluccensis",39,2,2,0,0,10,1,41
81,1.9,1.4,1.34,140,"3","recruits","chrysurus",50,8,3,2,2,1,0,33
82,1.9,1.7,1.227,141,"3","recruits","chrysurus",22,47,0,0,0,0,0,31
83,1.9,1.8,1.367,142,"3","recruits","chrysurus",14,32,1,1,0,0,0,52
84,1.9,1.5,1.293,143,"3","recruits","chrysurus",25,10,2,3,0,1,3,56
85,2.1,1.6,1.22,144,"3","recruits","chrysurus",40,20,2,0,0,0,0,38
86,2,1.6,1.467,145,"3","recruits","chrysurus",30,17,0,1,0,4,2,46
87,2,1.9,1.447,146,"3","recruits","chrysurus",29,14,0,1,1,6,0,47
88,2,2.4,1.167,148,"2","recruits","chrysurus",23,34,0,6,0,0,0,37
89,1.8,2.5,1.367,150,"2","recruits","chrysurus",14,33,1,1,0,0,4,46
90,2,2.4,1.3,152,"2","recruits","chrysurus",43,30,0,4,0,0,4,19
91,2,1.5,1.313,153,"3","recruits","chrysurus",44,13,0,8,1,13,1,20
92,1.6,1.6,1.473,156,"3","recruits","moluccensis",26,8,18,12,0,14,2,19
93,2,1.7,1.167,158,"3","recruits","amboinensis",21,47,0,6,2,4,7,13
94,1.9,1.6,1.767,159,"3","recruits","amboinensis",54,3,4,11,1,5,3,17
95,1.8,1.5,1.287,160,"3","recruits","amboinensis",38,16,0,2,1,8,0,35
96,2,2.3,1.467,162,"2","recruits","chrysurus",25,17,0,9,0,0,0,49
97,1.9,2.3,1.287,163,"2","recruits","chrysurus",14,26,0,2,0,0,0,58
98,2,3.2,2,165,"2","recruits","amboinensis",12,26,0,4,0,14,37,4
99,1.6,3.2,1.78,166,"2","recruits","amboinensis",17,49,0,8,0,1,20,5
100,2,2.1,1.687,169,"2","recruits","chrysurus",28,18,2,9,0,9,6,25
101,1.9,2.1,1.467,170,"2","recruits","chrysurus",26,16,0,28,1,12,5,9
102,1.6,3.4,1.82,171,"2","recruits","amboinensis",24,17,7,24,0,11,16,1
103,1.7,3.4,1.82,172,"2","recruits","amboinensis",24,17,7,24,0,11,16,1
104,1.6,3.6,2.62,173,"3","recruits","moluccensis",12,24,0,3,0,14,36,7
105,1.7,3.5,1.847,174,"3","recruits","moluccensis",9,7,2,41,0,20,1,19
106,1.6,3.6,2.733,175,"3","recruits","amboinensis",10,30,1,33,0,0,3,23
107,1.7,1.6,3.933,176,"3","recruits","moluccensis",24,4,2,7,8,4,21,23
108,1.6,1.6,3.933,177,"3","recruits","moluccensis",24,4,2,7,8,4,21,23
109,1.8,3.4,1.84,179,"3","recruits","amboinensis",5,50,3,16,0,16,7,2
110,2.1,3.4,1.84,180,"3","recruits","amboinensis",5,50,3,16,0,16,7,2
111,1.7,3.3,2.813,181,"3","recruits","moluccensis",22,14,1,12,0,13,29,9
112,1.6,3.3,2.813,182,"3","recruits","moluccensis",22,14,1,12,0,13,29,9
113,1.8,1.1,2.033,187,"3","recruits","chrysurus",50,15,3,6,1,3,5,16
114,2.1,1.3,1.327,188,"3","recruits","chrysurus",44,31,1,0,0,0,3,21
115,2,1.2,1.247,189,"3","recruits","chrysurus",42,11,2,7,0,4,3,31
116,1.6,1.8,2.853,193,"3","recruits","moluccensis",32,2,0,0,0,16,43,7
117,1.7,1.8,2.853,194,"3","recruits","moluccensis",32,2,0,0,0,16,43,7
118,1.7,3.3,1.353,196,"2","recruits","amboinensis",35,30,3,8,0,4,3,13
119,1.8,3.2,1.413,197,"2","recruits","amboinensis",15,56,0,2,0,0,0,27
120,1.7,2.5,1.28,199,"2","recruits","chrysurus",31,30,2,2,0,0,0,35
121,1.8,2.5,1.28,200,"2","recruits","chrysurus",31,30,2,2,0,0,0,35
122,2,2,1.233,202,"2","recruits","chrysurus",34,28,1,3,0,0,4,30
123,1.7,3.9,1.333,204,"2","recruits","amboinensis",16,59,0,0,0,0,0,25
124,2.2,2.3,1.313,205,"2","recruits","chrysurus",24,6,7,21,0,1,0,41
125,1.4,2.3,1.74,207,"2","recruits","moluccensis",32,13,2,27,0,17,1,6
126,1.6,1.9,3.413,210,"2","recruits","moluccensis",7,8,2,62,0,4,2,15
127,1.7,3.8,1.553,214,"3","recruits","amboinensis",12,66,0,0,0,9,1,12
128,1.8,3.8,1.553,215,"3","recruits","amboinensis",12,66,0,0,0,9,1,12
129,1.6,2.6,2.173,216,"3","recruits","moluccensis",24,2,0,3,0,23,9,34
130,1.9,1.4,1.467,224,"3","recruits","chrysurus",26,15,0,0,0,2,2,55
131,1.7,1.7,2.187,228,"3","recruits","amboinensis",39,8,1,19,2,15,2,14
132,1.6,2.7,1.453,235,"2","recruits","amboinensis",24,51,0,4,0,0,4,17
133,1.8,2.5,2.1,236,"2","recruits","chrysurus",19,11,5,9,0,4,0,52
134,2.1,2.4,1.613,237,"2","recruits","chrysurus",21,32,5,3,3,2,0,34
135,1.8,3.2,2.1,238,"2","recruits","amboinensis",35,15,4,20,0,0,15,9
136,1.7,3.2,2.1,239,"2","recruits","amboinensis",35,15,4,20,0,0,15,9
137,1.9,3.3,1.3,240,"2","recruits","amboinensis",91,4,1,0,0,0,1,2
138,1.9,3.3,1.3,241,"2","recruits","amboinensis",91,4,1,0,0,0,1,2
139,1.8,3.5,1.533,242,"2","recruits","amboinensis",7,69,0,14,0,0,0,10
140,1.8,3.5,1.533,243,"2","recruits","amboinensis",7,69,0,14,0,0,0,10
141,1.8,3.1,1.873,244,"2","recruits","amboinensis",17,25,1,5,0,2,40,10
142,1.6,1.6,1.647,247,"3","recruits","moluccensis",25,25,6,12,0,12,5,9
143,1.5,2.9,2.273,249,"3","recruits","moluccensis",24,5,1,1,4,24,39,2
144,1.6,3,2.04,250,"3","recruits","moluccensis",28,15,0,12,0,26,13,5
145,1.6,3.1,2.273,251,"3","recruits","amboinensis",6,33,0,54,0,0,0,7
146,1.8,3.2,1.46,252,"3","recruits","amboinensis",29,26,0,21,0,3,17,4
147,1.8,1.3,1.273,253,"3","recruits","chrysurus",29,36,0,15,0,0,1,19
148,1.9,1.4,1.413,254,"3","recruits","chrysurus",47,8,9,4,0,1,2,29
149,1.9,1.6,1.547,255,"3","recruits","chrysurus",42,20,3,5,0,10,7,9
150,1.9,1.3,1.22,257,"3","recruits","chrysurus",46,3,4,9,0,4,18,16
151,1.7,1.4,1.253,258,"3","recruits","chrysurus",45,26,0,0,1,1,1,26
152,1.7,1.4,1.2,259,"3","recruits","chrysurus",21,48,0,0,0,0,2,29
153,1.9,1.5,1.293,260,"3","recruits","chrysurus",36,38,0,1,0,2,2,21
154,1.9,2.3,1.353,261,"2","recruits","chrysurus",39,16,12,2,0,0,0,31
155,1.8,2.2,1.373,262,"2","recruits","chrysurus",43,11,8,0,0,0,0,38
156,1.9,2.2,1.373,263,"2","recruits","chrysurus",43,11,8,0,0,0,0,38
157,2,2.1,1.407,264,"2","recruits","chrysurus",39,12,10,2,0,0,0,37
158,2,1.8,1.387,265,"2","recruits","chrysurus",34,28,8,4,0,3,1,22
159,2,1.6,1.72,267,"2","recruits","chrysurus",38,11,1,0,6,0,3,41
160,1.9,1.6,1.38,268,"2","recruits","chrysurus",23,17,2,0,0,0,1,57
161,1.9,1.8,1.7,270,"2","recruits","chrysurus",60,19,0,6,0,2,7,6
162,1.5,3.6,1.967,271,"3","recruits","amboinensis",27,48,1,9,1,0,12,2
163,1.7,3.2,1.873,272,"3","recruits","moluccensis",49,6,0,0,0,15,23,7
164,1.9,2.2,1.647,275,"2","recruits","chrysurus",28,13,2,14,0,0,14,27
165,1.9,2.3,1.54,279,"2","recruits","chrysurus",26,15,1,46,0,1,2,8
166,1.9,2.1,1.36,280,"2","recruits","chrysurus",47,12,5,0,0,0,0,36
167,1.8,1.4,1.26,283,"3","recruits","chrysurus",61,13,6,2,0,0,4,14
168,1.7,1.3,1.227,284,"3","recruits","chrysurus",66,5,3,2,4,0,1,19
169,1.5,2.5,1.367,286,"3","recruits","moluccensis",57,0,2,0,1,23,7,9
170,1.9,1.9,1.487,289,"3","recruits","chrysurus",39,8,6,2,0,16,3,23
171,1.7,1.7,1.387,290,"3","recruits","chrysurus",54,13,1,1,5,0,11,15
172,1.8,2.2,1.7,291,"3","recruits","chrysurus",42,22,5,0,0,5,3,23
173,1.5,2.3,2.773,293,"3","recruits","moluccensis",43,0,6,9,0,22,6,8
174,1.7,1.8,1.44,294,"3","recruits","chrysurus",26,34,0,0,0,3,1,36
175,1.8,1.8,1.32,295,"3","recruits","chrysurus",48,16,2,0,0,0,7,27
176,1.8,1.9,1.293,296,"3","recruits","chrysurus",21,33,3,4,3,3,3,30
177,1.7,2,1.347,298,"2","recruits","chrysurus",47,6,3,1,5,0,3,35
178,1.9,2.2,1.653,299,"2","recruits","chrysurus",20,59,4,1,0,4,0,12
179,1.7,2,1.413,300,"2","recruits","chrysurus",30,16,8,3,0,0,0,43
180,1.5,2.4,2.567,303,"2","recruits","moluccensis",22,10,5,52,0,4,0,7
181,1.8,2.4,1.267,306,"2","recruits","chrysurus",34,21,3,2,2,1,2,35
182,1.8,2.4,1.36,307,"2","recruits","chrysurus",15,14,11,1,3,0,1,55
183,1.4,2.6,1.967,308,"3","recruits","moluccensis",30,4,2,18,1,10,18,16
184,1.8,1.7,1.4,311,"3","recruits","chrysurus",36,5,2,19,0,13,2,22
185,1.6,1.6,2.713,312,"3","recruits","moluccensis",32,1,1,0,1,33,9,23
186,1.6,1.9,4.147,313,"3","recruits","moluccensis",31,0,10,31,0,10,2,13
187,1.5,1.8,2.44,314,"3","recruits","moluccensis",37,0,3,28,0,27,3,1
188,1.6,2.5,2.32,315,"3","recruits","moluccensis",30,6,1,25,0,26,5,3
189,1.5,2.8,2.68,316,"3","recruits","moluccensis",35,1,5,29,0,7,12,11
190,1.7,3.7,1.407,319,"2","recruits","amboinensis",13,54,0,8,0,2,22,1
191,1.8,2.5,1.253,321,"2","recruits","chrysurus",19,37,0,4,0,1,5,34
192,1.9,2.5,1.253,322,"2","recruits","chrysurus",19,37,0,4,0,1,5,34
193,1.5,2.6,2.34,323,"2","recruits","moluccensis",66,0,1,0,0,9,9,6
194,1.6,2,2.533,325,"2","recruits","moluccensis",22,21,2,2,1,10,38,3
195,1.6,2.1,1.833,326,"2","recruits","moluccensis",22,6,7,34,0,13,11,4
196,1.7,2.7,1.513,328,"3","recruits","amboinensis",46,27,2,9,0,1,9,4
197,1.8,2.7,1.633,329,"3","recruits","amboinensis",19,9,2,11,0,7,49,0
198,1.6,2.6,1.833,330,"3","recruits","moluccensis",12,48,0,4,0,10,26,0
199,1.5,3.4,1.74,331,"3","recruits","amboinensis",0,56,2,30,0,0,0,12
200,1.7,3.4,1.74,332,"3","recruits","amboinensis",0,56,2,30,0,0,0,12
201,1.7,3.6,2.187,333,"3","recruits","amboinensis",7,36,0,0,0,54,2,1
202,1.6,1.6,3.267,334,"3","recruits","moluccensis",38,0,2,1,0,8,29,21
203,3.3,2.5,1.806666667,6,"3","juvenile","moluccensis",29,7,2,2,0,16,5,39
204,3.3,1.4,1.273333333,7,"3","juvenile","chrysurus",46,20,2,5,0,7,1,19
205,3.5,1.4,1.26,8,"3","juvenile","chrysurus",51,18,1,20,0,1,2,7
206,4,3.4,1.26,9,"3","juvenile","amboinensis",14,68,0,0,0,0,2,16
207,4.5,2.5,1.633333333,10,"3","juvenile","amboinensis",20,7,3,11,0,10,45,1
208,3.6,1.2,1.613333333,11,"3","juvenile","moluccensis",30,29,6,7,1,14,7,6
209,4,2.5,1.393333333,12,"3","juvenile","amboinensis",57,3,1,4,0,14,7,14
210,4.2,2.3,1.466666667,13,"2","juvenile","chrysurus",44,24,3,17,0,0,0,12
211,3.9,2,1.873333333,14,"2","juvenile","moluccensis",16,0,4,11,0,0,2,60
212,4.2,3.1,1.2,15,"2","juvenile","amboinensis",30,52,3,5,0,6,3,1
213,4.1,2.1,1.453333333,16,"2","juvenile","amboinensis",7,3,0,88,0,2,0,0
214,4.1,2.1,1.42,17,"2","juvenile","chrysurus",35,29,1,0,0,0,1,35
215,3.7,2.3,2,18,"2","juvenile","moluccensis",23,25,3,13,0,10,0,26
216,2.9,2.3,2.473333333,25,"3","juvenile","moluccensis",36,0,2,20,0,14,14,14
217,3.9,2,1.46,26,"3","juvenile","amboinensis",55,4,1,2,5,8,0,24
218,4.2,1.7,1.946666667,27,"3","juvenile","moluccensis",66,2,7,0,2,8,5,9
219,4.3,1.7,1.64,28,"3","juvenile","chrysurus",44,3,0,14,0,0,2,37
220,5,1.7,1.54,29,"3","juvenile","chrysurus",32,14,0,0,0,0,4,50
221,5,2.7,1.54,30,"3","juvenile","amboinensis",43,8,0,15,0,0,15,19
222,3.4,3.5,2.366666667,31,"3","juvenile","moluccensis",24,10,0,23,0,23,5,15
223,4.4,3.3,1.446666667,32,"3","juvenile","amboinensis",42,30,1,3,0,0,18,6
224,4.7,1.7,1.626666667,33,"3","juvenile","chrysurus",41,3,5,21,0,10,3,16
225,3.4,1.7,1.833333333,34,"3","juvenile","moluccensis",34,1,1,1,0,27,13,22
226,3.3,3.6,1.76,35,"3","juvenile","moluccensis",14,28,0,0,0,4,35,19
227,4.2,3.6,1.473333333,36,"3","juvenile","amboinensis",8,51,0,27,0,8,0,6
228,4.5,1.5,1.46,37,"3","juvenile","chrysurus",39,3,6,35,0,1,8,7
229,3.8,2.2,1.486666667,38,"3","juvenile","chrysurus",44,10,5,10,0,0,7,24
230,4,2.6,1.413333333,39,"3","juvenile","amboinensis",20,25,5,0,5,0,0,45
231,4.5,2.8,1.52,40,"2","juvenile","moluccensis",14,2,9,0,0,0,1,74
232,4.1,2.9,1.68,41,"2","juvenile","amboinensis",20,35,0,5,0,0,39,1
233,4.3,2.1,1.586666667,42,"2","juvenile","chrysurus",54,21,4,11,0,0,2,8
234,3.8,1.5,1.846666667,43,"2","juvenile","moluccensis",25,0,5,10,27,0,3,28
235,4.4,1.5,1.76,44,"2","juvenile","chrysurus",56,10,20,4,1,0,7,2
236,4,1.2,2.033333333,45,"2","juvenile","chrysurus",30,19,11,8,4,3,4,21
237,4.9,3.1,1.56,46,"2","juvenile","amboinensis",39,32,3,4,0,4,0,18
238,4.5,2.5,1.553333333,47,"2","juvenile","moluccensis",5,0,7,0,0,0,0,88
239,4.4,2.6,1.513333333,48,"2","juvenile","amboinensis",14,36,0,10,3,0,0,37
240,3.5,2.4,1.68,49,"2","juvenile","moluccensis",48,4,6,7,0,12,10,13
241,4.6,2.3,1.686666667,50,"2","juvenile","amboinensis",24,47,0,7,0,19,2,1
242,4.2,2,1.3,51,"2","juvenile","chrysurus",39,14,0,1,0,0,5,41
243,4.1,1.8,1.633333333,52,"2","juvenile","amboinensis",55,12,2,0,3,14,3,10
244,4.7,1.9,1.326666667,53,"2","juvenile","amboinensis",44,35,0,0,0,0,0,21
245,4.5,1.8,1.42,54,"2","juvenile","chrysurus",30,42,3,6,0,4,12,3
246,4.4,2.5,1.433333333,82,"2","juvenile","moluccensis",0,0,3,0,0,0,1,96
247,3.9,3.7,1.273333333,83,"2","juvenile","chrysurus",33,44,0,0,0,0,2,21
248,3.5,3.4,1.76,84,"2","juvenile","moluccensis",12,29,0,1,0,18,38,2
249,4.1,2.6,1.833333333,85,"2","juvenile","chrysurus",47,2,6,0,0,6,8,30
250,5.8,3.2,1.28,86,"2","juvenile","amboinensis",5,63,0,0,0,0,0,32
251,4.4,3.4,1.726666667,87,"2","juvenile","amboinensis",6,46,2,31,0,4,3,8
252,3.2,3.9,1.926666667,88,"3","juvenile","amboinensis",9,34,0,21,0,1,3,32
253,3.6,3.2,1.9,89,"3","juvenile","moluccensis",42,9,3,25,0,4,0,17
254,4.4,3.4,1.466666667,90,"3","juvenile","amboinensis",30,42,0,0,7,1,1,19
255,4.1,2,2.22,91,"3","juvenile","moluccensis",40,6,0,25,0,10,1,18
256,4.6,1.5,1.273333333,92,"3","juvenile","chrysurus",28,8,0,0,0,3,0,61
257,4.7,1.6,1.5,93,"3","juvenile","chrysurus",19,26,0,1,0,9,0,44
258,4,2.7,1.846666667,94,"2","juvenile","moluccensis",24,24,0,10,0,15,23,3
259,5.1,2.3,3.333333333,95,"2","juvenile","chrysurus",45,0,3,15,0,5,22,8
260,3.9,2,2.38,96,"2","juvenile","moluccensis",36,3,3,36,0,9,1,12
261,4.9,1.9,2.206666667,97,"2","juvenile","amboinensis",9,38,0,45,0,0,0,8
262,4,1.5,1.44,98,"2","juvenile","chrysurus",41,7,0,0,3,1,5,43
263,5.1,1.9,1.36,99,"2","juvenile","amboinensis",28,25,3,17,0,0,0,27
264,3,3.4,1.493333333,100,"3","juvenile","moluccensis",26,16,0,5,0,13,36,4
265,2.9,3.8,1.346666667,101,"3","juvenile","amboinensis",15,66,0,0,0,7,2,10
266,4.4,3.1,1.446666667,102,"3","juvenile","moluccensis",32,0,0,0,0,28,33,7
267,3.9,1.4,1.753333333,103,"3","juvenile","chrysurus",22,6,0,24,0,0,14,34
268,4.1,1.2,1.52,104,"3","juvenile","chrysurus",48,3,1,16,0,1,15,15
269,3,2.6,1.253333333,105,"3","juvenile","amboinensis",0,72,0,0,5,0,0,23
270,2.9,3.7,1.633333333,127,"3","juvenile","amboinensis",10,39,0,3,0,2,0,46
271,2.7,3.4,2.54,128,"3","juvenile","amboinensis",24,23,2,10,0,2,34,4
272,3.5,3.5,1.74,129,"3","juvenile","moluccensis",22,30,5,7,0,16,4,16
273,3.8,3.2,1.853333333,130,"3","juvenile","moluccensis",27,19,2,25,0,16,0,11
274,2.9,1.8,1.62,131,"3","juvenile","chrysurus",59,4,0,0,3,4,7,23
275,3.3,1.4,1.633333333,132,"3","juvenile","chrysurus",31,17,4,18,0,0,6,24
276,4,1.7,1.953333333,139,"3","juvenile","moluccensis",60,0,2,1,13,5,16,0
277,3.1,1.6,1.926666667,140,"3","juvenile","chrysurus",35,11,6,13,0,5,4,25
278,3.5,2.9,1.573333333,141,"3","juvenile","amboinensis",19,34,1,4,0,2,4,36
279,3.4,3,1.573333333,142,"2","juvenile","amboinensis",6,57,0,1,0,5,0,31
280,4.6,1.8,1.733333333,143,"2","juvenile","moluccensis",4,0,10,0,0,0,0,86
281,3.6,1.7,1.866666667,144,"2","juvenile","moluccensis",27,0,3,1,0,5,64,0
282,3.3,1.6,1.513333333,145,"2","juvenile","chrysurus",29,3,6,10,0,6,12,34
283,4.2,1.5,1.86,146,"2","juvenile","moluccensis",33,3,14,9,0,2,15,24
284,4.2,1.6,1.6,147,"2","juvenile","moluccensis",31,2,0,3,1,12,49,0
285,3.2,2.1,2.086666667,148,"2","juvenile","amboinensis",10,2,0,67,0,0,15,6
286,4.1,1.8,1.533333333,149,"2","juvenile","chrysurus",32,25,5,12,1,6,5,12
287,3.7,1.9,1.44,150,"2","juvenile","chrysurus",31,8,5,9,0,2,8,37
288,3.6,3.7,1.5,169,"3","juvenile","amboinensis",30,54,0,0,0,11,0,5
289,4.5,2.5,1.673333333,170,"3","juvenile","moluccensis",60,2,0,0,0,15,17,3
290,4.9,3.4,2.413333333,171,"3","juvenile","moluccensis",32,27,1,3,0,8,20,8
291,4.4,2,2.246666667,172,"3","juvenile","moluccensis",18,0,2,26,0,25,0,29
292,4.2,1.2,1.626666667,173,"3","juvenile","chrysurus",50,3,2,2,0,0,20,23
293,3,1.7,1.746666667,174,"3","juvenile","chrysurus",37,11,4,3,4,6,0,35
294,3.3,1.8,1.713333333,175,"3","juvenile","amboinensis",46,5,0,5,0,13,2,29
295,4.5,1.5,1.666666667,176,"3","juvenile","chrysurus",35,11,9,3,0,12,11,18
296,3.2,3.6,1.933333333,177,"3","juvenile","amboinensis",8,38,0,25,0,0,1,28
297,3.5,3.2,1.453333333,178,"2","juvenile","amboinensis",36,45,0,8,0,0,0,11
298,4.4,3,1.693333333,179,"2","juvenile","amboinensis",16,42,2,13,0,0,24,3
299,4.5,1.8,2.526666667,180,"2","juvenile","moluccensis",24,7,1,2,29,0,0,37
300,4.2,2,1.52,181,"2","juvenile","chrysurus",43,6,9,29,0,0,0,12
301,3.8,1.6,1.666666667,182,"2","juvenile","chrysurus",34,2,9,4,0,0,2,49
302,4.3,1.9,1.726666667,183,"2","juvenile","chrysurus",10,35,1,48,0,4,1,1
303,3.5,2,1.706666667,184,"2","juvenile","moluccensis",58,10,3,1,1,19,1,7
304,3.9,2.3,1.96,185,"2","juvenile","moluccensis",37,0,6,12,1,16,9,19
